Eager: ansioso, entusiástico, ávido
Equipment: equipamento, aparato, ferramenta
Equivalent: equivalente, igual, correspondente
Eradicate: erradicar, eliminar, destruir
Erase: apagar, eliminar, excluir
Erect: erigir, levantar, construir
Erratic: errático, imprevisível, irregular
Escape: escapar, fugir, evadir
Essay: ensaio, redação, artigo
Essential: essencial, fundamental, indispensável
Establish: estabelecer, fundar, criar
Estate: propriedade, fazenda, bens
Estimate: estimar, calcular, avaliar
Evaluate: avaliar, estimar, analisar
Evacuate: evacuar, desocupar, retirar
Event: evento, acontecimento, incidente
Ever: sempre, jamais, alguma vez
Every: cada, todo, qualquer
Everyone: todos, cada pessoa, qualquer um
Everything: tudo, todas as coisas, qualquer coisa
Evidence: evidência, prova, indício
Evil: mal, maligno, perverso
Evolution: evolução, desenvolvimento, progresso
Examine: examinar, analisar, inspecionar
Example: exemplo, modelo, amostra
Exceed: exceder, ultrapassar, superar
Excel: sobressair, se destacar, superar
Exception: exceção, exclusão, anomalia
Excess: excesso, abundância, superabundância
Exchange: troca, intercâmbio, permuta
Excite: excitar, entusiasmar, agitar
Exclude: excluir, deixar de fora, isolar
Exclusive: exclusivo, particular, restrito
Exempt: isentar, excluir, liberar
Exhale: exalar, soltar, respirar
Exist: existir, viver, estar presente
Exotic: exótico, raro, incomum
Expand: expandir, ampliar, aumentar
Expensive: caro, dispendioso, valioso
Experience: experiência, vivência, prática
Expert: especialista, perito, profissional
Explain: explicar, esclarecer, descrever
Exploit: explorar, utilizar, aproveitar
Explore: explorar, investigar, estudar
Explosion: explosão, detonação, estourar
Export: exportar, vender para o exterior, comércio
Expose: expor, revelar, mostrar
Express: expressar, comunicar, manifestar
Extend: estender, ampliar, prolongar
External: externo, exterior, de fora
Extra: extra, adicional, suplementar
Extraordinary: extraordinário, notável, impressionante
Extreme: extremo, radical, intenso
Extremist: extremista, radical, fundamentalista
Extract: extrair, retirar, remover
Extraordinary: extraordinário, notável, excepcional
Extinguish: extinguir, apagar, erradicar
Extradite: extraditar, entregar, transferir
External: externo, exterior, externo
Extract: extrair, remover, retirar
Exterminate: exterminar, destruir, aniquilar
Exemption: isenção, liberdade, exceção
Exponential: exponencial, acelerado, multiplicativo
Expose: expor, revelar, mostrar
Expression: expressão, manifestar, forma de expressão
Extend: estender, ampliar, prolongar
Extensive: extenso, amplo, abrangente
Extinguish: extinguir, apagar, debelar
Exuberant: exuberante, vibrante, pleno
Excessive: excessivo, exagerado, desmedido
Expenditure: gasto, despesa, custo
Exponential: exponencial, rápido, acelerado
Expatriate: expatriado, exilado, emigrante
Exorbitant: exorbitante, excessivo, desproporcional
Examine: examinar, avaliar, inspecionar
Exiled: exilado, banido, afastado
Execute: executar, realizar, implementar
Exonerate: exonerar, absolver, isentar
Exhibition: exibição, mostra, apresentação
Exhibit: exibir, mostrar, apresentar
Exoneration: exoneração, absolvição, liberação
Exhaust: exaustão, esgotamento, cansaço
Examine: examinar, inspecionar, avaliar
Excavation: escavação, remoção, obra
Excited: animado, empolgado, entusiasmado
Excessive: excessivo, exagerado, desmedido
Examine: examinar, inspecionar, observar
External: externo, fora, exterior
Expand: expandir, aumentar, ampliar
Explanation: explicação, justificativa, esclarecimento
Excessive: excessivo, exagerado, desmesurado
Exhibition: exibição, apresentação, demonstração
Exile: exílio, banimento, afastamento
Examiner: examinador, avaliador, investigador
Exorbitant: exorbitante, excessivo, desmesurado
Exaggerate: exagerar, amplificar, aumentar
Executive: executivo, dirigente, administrador
Exhausted: exausto, cansado, fatigado
Exploit: explorar, aproveitar, explorar
Extensive: extenso, amplo, abrangente
Extinct: extinto, desaparecido, inativo
Extremist: extremista, radical, fanático
Exorbitant: exorbitante, excessivo, imenso
Expertise: especialização, conhecimento, habilidade
Extinct: extinto, desaparecido, inativo
Exhibit: exibir, apresentar, mostrar
Exempt: isentar, liberar, desculpar
Exponential: exponencial, acelerado, progressivo
Exorbitant: exorbitante, excessivo, desmesurado
Examine: examinar, inspecionar, estudar
Execute: executar, realizar, implementar
Exceed: exceder, ultrapassar, superar
Exemption: isenção, exceção, liberação
Extinguish: extinguir, apagar, erradicar
Existence: existência, vida, realidade
Eccentricity: excentricidade, peculiaridade, estranheza
Elation: êxtase, alegria, entusiasmo
Emanate: emanar, derivar, originar
Elderly: idoso, ancião, mais velho
Evade: evadir, escapar, desviar
Eminent: eminente, notável, ilustre
Eros: eros, desejo, paixão
Efficacy: eficácia, efetividade, competência
Elusive: elusivo, difícil de alcançar, esquivo
Eagle: águia, predador, rapinante
Examine: examinar, inspecionar, avaliar
Examine: verificar, estudar, inspecionar
Elevation: elevação, altura, promoção
Endure: suportar, resistir, aguentar
Elder: ancião, idoso, mais velho
Enlightenment: iluminação, esclarecimento, sabedoria
Eruption: erupção, explosão, manifestação
Empathy: empatia, compreensão, conexão emocional
Embrace: abraçar, acolher, adotar
Enrich: enriquecer, aprimorar, melhorar
Enshrine: consagrar, preservar, eternizar
Emerald: esmeralda, gema, verde
Emanate: emanar, derivar, originar
Excavation: escavação, remoção, obra
Exiled: exilado, afastado, banido
Exploitative: explorador, ganancioso, abusivo
Endorse: endossar, apoiar, confirmar
Elemental: elementar, básico, fundamental
Ephemeral: efêmero, passageiro, transitório
