Cab: Táxi, Carro de aluguel, Veículo de transporte
Contact: Contato, Comunicação, Ligação
Contain: Contém, Incluir, Reprimir
Content: Conteúdo, Satisfação, Tema
Contest: Concurso, Competição, Disputa
Continue: Continuar, Prosseguir, Seguir
Contract: Contrato, Acordo, Contrair
Contribute: Contribuir, Colaborar, Doar
Control: Controle, Gerenciar, Dominio
Convenient: Conveniente, Prático, Apropriado
Converse: Conversar, Dialogar, Falar
Convert: Converter, Transformar, Mudar
Convince: Convencer, Persuadir, Cativar
Cook: Cozinhar, Preparar, Chef
Cool: Legal, Frio, Fresco
Cooperate: Cooperar, Colaborar, Trabalhar juntos
Copy: Copiar, Reprodução, Cópia
Core: Núcleo, Centro, Essência
Corn: Milho, Grão, Semente
Corner: Canto, Esquina, Aresta
Correct: Corrigir, Apropriado, Preciso
Cost: Custo, Preço, Despesa
Courage: Coragem, Valentia, Bravura
Course: Curso, Rumo, Trajeto
Court: Tribunal, Corte, Quadra
Cover: Cobrir, Capa, Proteção
Cow: Vaca, Animal de pasto, Ruminante
Crack: Rachar, Fenda, Crack (droga)
Craft: Artesanato, Habilidade, Ofício
Crash: Colidir, Acidente, Queda
Create: Criar, Gerar, Fazer
Creature: Criatura, Ser, Animal
Credit: Crédito, Louvor, Reconhecimento
Crest: Ponta, Crista, Emblema
Crew: Tripulação, Equipe, Grupo
Crime: Crime, Delito, Transgressão
Crisis: Crise, Emergência, Problema
Critic: Crítico, Avaliador, Revisor
Critical: Crítico, Essencial, Determinante
Criticism: Crítica, Opinião, Análise
Cross: Cruzar, Cruz, Interseção
Crowd: Multidão, Público, Agitação
Crown: Coroa, Realeza, Topo
Cruise: Cruzeiro, Navegar, Viagem
Cry: Chorar, Gritar, Lamento
Cultural: Cultural, Relativo à cultura, Social
Curious: Curioso, Interessado, Inusitado
Curl: Enrolar, Cacho, Torcer
